modelId,reviewed,oldScore,newScore,scoreChange,oldRank,newRank,rankImprovement,reviewedImages,arbitratedImages
sourceful/riverflow-v2-pro,True,8.91468253968254,9.01765873015873,0.10297619047619122,6,1,5,9,6
openai/gpt-image-2,False,8.90813492063492,8.90813492063492,0.0,8,2,6,0,0
openai/gpt-image-2.5-sunburst,False,8.854960317460318,8.854960317460318,0.0,9,3,6,0,0
sourceful/riverflow-v2.5-pro,True,8.950992063492064,8.839285714285714,-0.11170634920635081,3,4,-1,9,2
google/nano-banana-pro,False,8.710912698412697,8.710912698412697,0.0,10,5,5,0,0
qwen-image-3.0-pro,True,9.039682539682541,8.578412698412698,-0.46126984126984283,1,6,-5,9,3
x-ai/grok-imagine-image-2.0,True,8.931547619047619,8.332936507936507,-0.5986111111111114,4,7,-3,9,4
openai/gpt-image-2.5-flare,False,8.150396825396825,8.150396825396825,0.0,15,8,7,0,0
microsoft/mai-image-2.5-pro,True,8.911309523809525,8.04047619047619,-0.8708333333333353,7,9,-2,9,5
seedream-5.0-pro,True,8.688492063492063,7.984325396825396,-0.7041666666666675,11,10,1,9,6
qwen/qwen-image-3,True,8.974603174603175,7.839484126984127,-1.1351190476190478,2,11,-9,9,3
seedream-5.0,True,8.927579365079366,7.707142857142857,-1.2204365079365083,5,12,-7,9,6
microsoft/mai-image-2.6,True,7.3575396825396835,7.601190476190476,0.24365079365079279,19,13,6,9,4
google/nano-banana-2,False,7.527777777777777,7.527777777777777,0.0,18,14,4,0,0
qwen-image-2.0-pro,True,8.463690476190477,7.343055555555556,-1.120634920634921,12,15,-3,9,6
microsoft/mai-image-2.5,True,7.718650793650793,7.099801587301587,-0.6188492063492061,17,16,1,9,7
google/nano-banana-2-lite,False,7.069047619047619,7.069047619047619,0.0,21,17,4,0,0
x-ai/grok-imagine-image-quality,True,8.426785714285716,6.787103174603175,-1.639682539682541,14,18,-4,9,7
wan2.7-image,True,8.440277777777776,6.72123015873016,-1.7190476190476165,13,19,-6,9,5
wan2.7-image-pro,True,7.839087301587303,6.553690476190477,-1.285396825396826,16,20,-4,9,5
qwen-image-2.0,True,7.347420634920636,6.118333333333334,-1.2290873015873016,20,21,-1,9,4
seedream-4.5,True,6.362698412698412,5.899801587301588,-0.4628968253968244,22,22,0,9,6
recraft/recraft-v4.1-utility-pro,True,5.692063492063492,4.977857142857142,-0.71420634920635,26,23,3,9,6
google/nano-banana,False,4.974603174603175,4.974603174603175,0.0,35,24,11,0,0
black-forest-labs/flux.2-flex,True,5.205952380952381,4.969285714285714,-0.23666666666666636,33,25,8,9,4
recraft/recraft-v4.1-vector,True,5.337301587301587,4.773214285714285,-0.5640873015873016,30,26,4,9,6
sourceful/riverflow-v2-fast,True,5.852976190476191,4.754761904761905,-1.0982142857142865,25,27,-2,9,4
doubao-seedream-4-0-250828,True,5.866269841269841,4.74781746031746,-1.1184523809523812,24,28,-4,9,4
recraft/recraft-v4.1-pro,True,5.198015873015874,4.552103174603174,-0.6459126984126993,34,29,5,9,4
recraft/recraft-v4.1,True,5.881349206349207,4.512103174603174,-1.3692460317460329,23,30,-7,9,8
recraft/recraft-v4.1-pro-vector,True,5.563690476190477,4.474007936507936,-1.0896825396825403,27,31,-4,9,6
krea/krea-2-large,True,5.3220238095238095,4.426587301587301,-0.8954365079365081,31,32,-1,9,4
black-forest-labs/flux.2-pro,True,4.2063492063492065,4.404365079365079,0.19801587301587276,39,33,6,9,5
recraft/recraft-v4.1-utility,True,5.390476190476191,4.350793650793651,-1.0396825396825395,28,34,-6,9,5
black-forest-labs/flux.2-max,True,4.67936507936508,4.234126984126984,-0.44523809523809543,36,35,1,9,6
krea/krea-2-medium-turbo,True,4.326984126984128,3.986904761904762,-0.34007936507936565,38,36,2,9,7
recraft/recraft-v4-vector,True,4.522619047619047,3.867460317460317,-0.65515873015873,37,37,0,9,6
recraft/recraft-v4,True,5.279761904761905,3.860714285714286,-1.419047619047619,32,38,-6,9,9
recraft/recraft-v4-pro,True,5.370833333333333,3.824603174603175,-1.546230158730158,29,39,-10,9,8
sourceful/riverflow-v2.5-fast,True,4.050396825396826,3.4914682539682538,-0.5589285714285719,40,40,0,9,6
krea/krea-2-medium,True,3.9214285714285717,3.488690476190476,-0.4327380952380957,42,41,1,9,3
recraft/recraft-v4-pro-vector,True,3.9980158730158726,2.9855158730158733,-1.0124999999999993,41,42,-1,7,6
black-forest-labs/flux.2-klein-4b,True,2.8908730158730154,2.459920634920635,-0.4309523809523803,43,43,0,9,5
recraft/recraft-v3,True,2.2865079365079364,2.0817460317460315,-0.20476190476190492,46,44,2,9,7
recraft/recraft-v4-styles-vector,True,2.4896825396825397,2.0710317460317462,-0.4186507936507935,44,45,-1,3,2
recraft/recraft-v4-styles-pro-vector,True,2.452777777777778,2.046031746031746,-0.4067460317460321,45,46,-1,3,2
z-image-turbo,True,1.6123015873015873,1.5253968253968253,-0.08690476190476204,47,47,0,6,4
